NOME,APARICOES
"Pyat Pree",4
Styr,4
"Yezzan zo Qaggaz",4
"Karl Tanner",4
"Ilyn Payne",4
Marillion,4
"Dickon Tarly",4
"Qhorin Halfhand",4
"Lothar Frey",4
Rorge,4
"Lommy Greenhands",4
"Matthos Seaworth",4
Armeca,4
"Royal Steward",4
"Black Lorren",4
"Amory Lorch",4
Biter,4
"Young Ned",4
"Baby Sam",4
"Baby Sam",4
Timett,4
"Steelshanks Walton",4
Leaf,4
Knight,4
"Craster's Wife",4
Wildling,4
"Stark Archer",4
Izembaro,3
"Lady Crane",3
"Spice King",3
"Three-Eyed Raven",3
"Syrio Forel",3
Harrag,3
"Salladhor Saan",3
"Daario Naharis",3
"Greatjon Umber",3
Camello,3
"Harald Karstark",3
"Giant Wight #2",3
Bobono,3
"Razdal mo Eraz",3
Lhara,3
Clarenzo,3
"Thenn Warg",3
"Mirri Maz Duur",3
Polliver,3
"Alton Lannister",3
"Khal Moro",3
"Ned Umber",3
"Kraznys mo Nakloz",3
Mossador,3
"White Walker",3
Rattleshirt,3
Vala,3
Daisy,3
"Bathhouse Prostitute",3
"Silk King",3
"Dothraki Bloodrider #1",3
"Musician #1",3
"Dothraki Bloodrider #2",3
"Musician #2",3
"Musician #3",3
"Musician #4",3
"Loyal Night's Watchman #2",3
"Musician #5",3
"King's Landing Whore",3
"Dothraki Woman Having Sex",3
Aggo,3
Frances,3
"Brothel Patron #5",3
"The Night King",3
"King's Landing Nobleman",3
"Dothraki woman",3
"Meereen Guard",3
"Unsullied Soldier",3
Wildling,3
Hallyne,2
"Harry Strickland",2
"Illyrio Mopatis",2
"Lem Lemoncloak",2
"Smalljon Umber",2
Martha,2
Mord,2
"Aeron Greyjoy",2
"Dim Dalba",2
"Belicho Paenymion",2
Fergus,2
Gatins,2
Teela,2
"Old Nan",2
Morgan,2
"Woman with Elderly Parents",2
"Gregor 'The Mountain' Clegane",2
Malko,2
"Thin Man",2
"Lothar Frey",2
Bianca,2
"Vardis Egen",2
Shagga,2
Quaithe,2
"Margaery Tyrell Mummer",2
"Old Woman",2
"Baby Sam",2
"Hugh of the Vale",2
Morag,2
Todder,2
Johnna,2
Willa,2
"Lady Kitty Frey",2
"Baby Sam",2
"Lyanna Stark",2
"Village Woman",2
Farlen,2
"Donnel Waynwood",2
Drennan,2
Sissy,2
"Dosh khaleen High Priestess",2
Zanrush,2
"King's Landing Whore",2
Ornela,2
"Young Nan",2
Kurleket,2
"Winterfell Shepherd",2
"The Tickler",2
Ghita,2
Wyllis,2
Morgan,2
"Greizhen mo Ullhor",2
"Mole's Town Whore",2
"Willis Wode",2
Jacks,2
Goldcloak,2
"King's Landing Rioter #1",2
"Ternesio Terys",2
"Moro's Wife #2",2
"Master Torturer",2
"Great Master #1",2
"Young Ned Stark",2
"Young Rodrik Cassel",2
Mhaegen,2
nan,2
"Mole's Town Madam",2
"Lannister Captain",2
Quent,2
"Young Benjen Stark",2
"Dothraki Widow #1",2
"Stark Guard",2
"Mummer #2",2
Kayla,2
Manservant,2
"Mummer #3",2
"Tobho Mott",2
"Mummer #4",2
"Night's Watchman #1",2
"Dothraki Widow #2",2
"Willem Lannister",2
"Baratheon Soldier #2",2
"Loyal Night's Watchman #1",2
"Night's Watchman #2",2
"Night's Watchman",2
"The Mother",2
"Male Prostitute",2
"The Maiden",2
"The Crone",2
Arthur,2
"Little Bird #4",2
"Little Bird #3",2
"Little Bird #6",2
"Little Bird #5",2
"Little Bird #7",2
"Three-Eyed Raven",2
"Joyeuse Frey",2
"Tyrell Lady",2
Tommy,2
"Leo Lefford",2
"Ironborn #2",2
"Wight Wildling Girl",2
"Lord Galbart Glover",2
Mikken,2
Nobleman,2
"Frey Wedding Guest",2
"Frey Wedding Guest",2
"Night's Watch",2
"Dothraki Rider",2
"King's Landing Handmaiden",2
"Mole's Town Whore",2
"Tyrell Cousin",2
"Burning Lannister",2
"Tully Soldier",2
Wildling,2
"Karstark Soldier",2
"Bolton Infantry",2
"Kingsland Taverner",2
"Braavosi Theatre Server",2
"Braavosi Theatre Sound Artist",2
"Meereen Guard",2
"Captured Wight",2
"Lady of Winterfell",2
"Dothraki Rider",2
"Brother Ray",1
Nora,1
Xela,1
"Lannister Soldier",1
Karsi,1
"Nora's Daughter",1
"Singing Lannister Soldier",1
"Northern Sentry",1
"Dying Man",1
Loboda,1
"Lannister Soldier",1
"Stark Soldier",1
"Unsullied Captain",1
"Lannister Soldier",1
"Imry Florent",1
"Captain of the Bolton Archers",1
Koner,1
"Ironborn Lord",1
"Young Woman",1
"Mandon Moore",1
"Bolton General",1
"Northerner in Alley",1
"Dornish Prince",1
Jhiqui,1
"Baratheon Officer",1
"Northman Rider",1
"Melessa Tarly",1
"Winterfell Local",1
"Riverlands Lord",1
"Lannister Soldier",1
Will,1
"Captain of the Archers",1
"Lord of Bones",1
"Northman Archer",1
"Stark Soldier",1
"Lord Une",1
Mycah,1
"Jon Arryn",1
Mero,1
"Vale Lord",1
"Lannister Soldier",1
"Waymar Royce",1
"Prendahl na Ghezn",1
Goatherd,1
"Northern Lord",1
"King's Landing Citizen",1
Gared,1
"Catspaw Assassin",1
"Maester Cressen",1
Septon,1
"First Mate",1
"Citadel Maester",1
"Wight at Table",1
"King's Landing Citizen",1
"Crying Man",1
"Lannister Guard",1
Maggy,1
"The Waif's Disguise",1
"Citadel Maester",1
"Lannister Soldier",1
Lannister,1
"Roslin Frey",1
"Anya Waynwood",1
"Bathhouse Prostitute",1
"Braavosi Captain",1
"Ironborn #1",1
"Westerosi Trader",1
"Street Red Priestess Meereen",1
Goldcloak,1
nan,1
"Lannister Soldier",1
Willa,1
nan,1
"Old Man",1
"Yunkai'i Whore",1
"Ironborn in Skiff",1
"Black Armored White Walker",1
Slaver,1
"Bear Island Maester",1
"Rhaegar Targaryen",1
"Fergus' Friend",1
Sarra,1
"Lannister Soldier",1
"Villager 1",1
"Wine Merchant",1
"Frey Guard",1
Prisoner,1
"Great Master #1",1
Joss,1
"Volantene Whore #1",1
"High Septon Maynard",1
"King's Landing Citizen",1
"Winterfell Girl",1
nan,1
"Pentoshi Servant",1
"High Septon",1
"Merry Frey",1
"Bolton Guard",1
"Ralf Kenning",1
"Pit Announcer",1
"Street Red Priestess Volantis",1
"Winter Town Man",1
"Northman Rioter",1
"Tully Bannerman",1
"Aerys Targaryen",1
Crayah,1
"King's Landing Citizen",1
Varly,1
Goldcloak,1
"Hog Farmer",1
"Elder Meereen Slave",1
"Great Master #2",1
"Wildling Rioter",1
"Dickon Tarly",1
"Crossroads Inn Patron",1
"Stark Soldier",1
"Lannister General",1
"Lannister Soldier",1
"'Littlefinger' Winterfell Spy",1
Northman,1
Dirah,1
"King's Landing Citizen",1
nan,1
"White Walker #2",1
"Lannister Guard",1
"Drowned Priest",1
"Theon's Master of Hounds",1
Fennesz,1
Tansy,1
"Goatherd's Son",1
"Braavosi Madam",1
"Merchant Captain",1
"Great Master #3",1
"Talla Tarly",1
"King's Landing Boaster",1
"Lannister Soldier",1
Ash,1
"Crossroads Inn Patron",1
"Lannister Soldier",1
,1
"King's Landing Citizen",1
nan,1
"Dothraki Crone",1
"Jaremy Rykker",1
"Captain's Daughter",1
Rennick,1
"Wendel Manderly",1
nan,1
"Adrack Humble",1
"Morgan's Friend",1
"Young Braavosi",1
"Great Master #4",1
"Lead Dornish Guard",1
"Moro's Wife #1",1
Kesh,1
"Ironborn at Brothel",1
Riddell,1
"Lannister Soldier",1
nan,1
"King's Landing Citizen",1
Joss,1
"Drunk Patron",1
"Torrhen Karstark",1
Drummer,1
"Great Master #5",1
Kinvara,1
Steve,1
"Volantene Whore #2",1
"Tyrell Bannerman",1
"Lannister Guard",1
"Winter Town Boy",1
"Lannister Soldier",1
Tomard,1
Stiv,1
"King's Landing Baker",1
"Goldcloak #1",1
"Karstark Soldier #1",1
"Lordsport Dockhand",1
"Bolton Soldier",1
Leaf,1
"Vance Corbray",1
"Valyrian Slave",1
"Axell Florent",1
Innkeeper,1
"Great Master #6",1
"Lannister Soldier",1
"Khal Forzho",1
"Volantene Whore #3",1
"Winter Town Woman",1
"Goldcloak #2",1
"Night's Watchman",1
"Little Bird",1
"Knight of House Lynderly",1
"Old Woman Prisoner",1
Mirelle,1
Sorcerer,1
Unsullied,1
"Lord Blackmont",1
"Great Master #7",1
"Brothel Guard",1
"Faith Militant #1",1
"Volantene Whore #4",1
"The Waif's Disguise",1
"Stevron Frey",1
"Eon Hunter",1
Gerald,1
"Boat Commander",1
"Musician #1",1
Goatherd,1
Kegs,1
Derek,1
"Lollys Stokeworth",1
"Despondent Man",1
"Faith Militant #2",1
"Volantene Whore #5",1
"Winter Town Woman",1
"Ryger Rivers",1
"Night's Watch Deserter",1
"King's Landing Rioter #2",1
"Colen of Greenpools",1
"Wounded Lannister",1
Protestor,1
"Margaery's Handmaiden",1
"Frey Soldier #1",1
"Riverlands Traveller",1
"Musician #2",1
"Black Jack Bulwer",1
"Ser Endrew Tarth",1
"Craster's Wife #2",1
Brant,1
"Faceless Man",1
"Sellsword #1",1
"Second Son",1
"Rickard Stark",1
"Ironborn Abusing a Volantene Whore",1
"Poisoned Frey",1
"King's Landing Urchin",1
"Beric Dondarrion",1
"Tortured Prisoner",1
"Karstark Soldier #2",1
"King's Landing Rioter #3",1
"Orphan Kid",1
"Karstark Lookout",1
"King's Landing Tailor",1
"Frey Soldier #2",1
"Musician #3",1
"Craster's Wife #3",1
"Farmer Hamlet",1
Mully,1
"Tyrell Guard",1
"Sellsword #2",1
"Lannister Guard #1",1
"Lead Kingsguard",1
"Arthur Dayne",1
"Frey Lord",1
"Reginald Lannister",1
"Brothel Customer",1
Violet,1
"Fruit Vendor",1
"Tyrell Servant",1
Warlock,1
"King Joffrey Baratheon Dwarf",1
Wight,1
"Little Bird",1
Clea,1
Brusco,1
"Foreign Merchant",1
"Gerold Hightower",1
"Lannister Captain",1
Iggo,1
"Sick Maester",1
"Rickard Karstark",1
Unsullied,1
nan,1
"Whore #1",1
"King Stannis Baratheon Dwarf",1
Sailor,1
"Beggar Woman",1
"Denys Mallister",1
"Young Cersei Lannister",1
"Khal Brozho",1
"Jonos Bracken",1
"Stark Messenger",1
"Jaqen's Disguise",1
"Desmond Crakehall",1
Guymon,1
"King Renly Baratheon Dwarf",1
nan,1
"Baratheon General",1
"Melara Hetherspoon",1
"Braavosi Woman #1",1
"Khal Rhalko",1
"Young Lyanna Stark",1
"Knight of House Frey",1
"Lannister Messenger",1
"Lannister Torturer",1
"Northern Lord",1
"Stark Soldier",1
"Yunkai'i Slave #1",1
"King Robb Stark Dwarf",1
"Innkeeper's Daughter",1
"Olly's Mother",1
"Street Tough #1",1
"Septa Moelle",1
"White Rat",1
nan,1
Anara,1
"Citadel Maester",1
"Khal Qorro",1
"Braavosi Woman #2",1
"Serving Girl",1
"Addam Marbrand",1
"Vayon Poole",1
"Yunkai'i Slave #2",1
"Bolton Soldier",1
"King Balon Greyjoy Dwarf",1
"Whore #2",1
nan,1
"Strong Sam Stone",1
"Septa Scolera",1
"Mallister Supporter",1
Brea,1
"Masha Heddle",1
"Stark Guard",1
"Night's Watch Messenger",1
Septon,1
"Qartheen Woman",1
"Craster's Wife",1
"Yunkai'i Slave #3",1
"Eyrie Guard",1
Whore,1
"Brothel Customer",1
"Night's Watchman #2",1
"Lannister Soldier",1
"Yunkai'i Slave #4",1
"Craster's Younger Wife",1
"Sparring Boy",1
"Street Tough #2",1
Aya,1
"Brothel Child #1",1
"Bolton Officer",1
"Lannister Scout",1
Rhaego,1
"Yunkai'i Slave #5",1
"Maester Helliweg",1
"Brothel Child #2",1
"Inn Waitress",1
"Lannister Guard #2",1
Handmaid,1
"Bolton Soldier",1
"Ironborn #3",1
"Stark Guard",1
Genna,1
"Son of the Harpy",1
"Baratheon Soldier #1",1
"Lannister Guard #3",1
"Meereenese Homeless Mother",1
"Tommen's Attendant",1
"Red Keep Stableboy",1
"Night's Watchman",1
"Dwarf Hunter #1",1
"Maester Caleotte",1
"Tommen's Manservant",1
Chella,1
Gordy,1
"Dwarf Hunter #2",1
"Wyman Manderly",1
"Lord Portan",1
"Farmer's Daughter",1
Simpson,1
"Cley Cerwyn",1
"Tourney Herald",1
"Tortured Slave",1
Woodcutter,1
"Dothraki Man Having Sex",1
"King's Landing Drunkard",1
"Great Master #2",1
"King's Landing Whore",1
"Meereen Slave",1
"King's Landing Flasher #1",1
"King's Landing Flasher #2",1
"Cersei Body Double",1
"The Bear",1
"Baratheon Guard",1
Prostitute,1
"Winterfell Beekeeper",1
Mago,1
"Lady of Eyrie Landing (2011)",1
Peasant,1
"Lannister Guard",1
"King's Guard",1
"Baratheon Archer",1
Wight,1
"Black Knight",1
"Lannister Archer",1
Weasel,1
"Selyse Baratheon",1
"Young Nobleman",1
"Stark Guard",1
"Craster's Daughter",1
"Riverrun Nobleman",1
"Marianne Frey",1
Musician,1
"Hoster Tully",1
"Bathhouse Boy",1
"Khaleesi Handmaiden #1",1
"Yunkai Citizen",1
Dothraki,1
"Noble Man",1
Waitress,1
Cooper,1
"Dragonstone waiter",1
"Stannis Guard",1
"Wedding Guest",1
"Inn Customer",1
"Frey Serving Boy",1
"Noble Lady",1
"Night's Watch Archer",1
"Donnel Hill",1
"Wedding Band",1
"Wedding Guest",1
"Strong Fighter",1
Fighter,1
Wildling,1
Fighter,1
"Wildling Archer",1
Wight,1
Wildling,1
Slave,1
"Pit Fighter",1
"Wilding Gladiator",1
Wildling,1
"Night's Watch Recruit",1
"Wildling Archer",1
Wight,1
Wildling,1
Wildling,1
Passerby,1
"Unsullied Guard",1
"Volantene Whore",1
"Child of the Forest #1",1
"Child of the Forest #2",1
"Tavern Maid",1
"Volantene Whore",1
"Frey Daughter",1
Quinn,1
"'That's Right' Man",1
"Child of the Forest #3",1
"Volantene Whore",1
"Healtor Troop",1
"Howland Reed",1
"Dothraki Rider",1
Traveller,1
"Woman in King's Landing",1
Wildling,1
"Lannister Guard",1
"Lannister Soldier",1
"Night's Watch",1
"Tyrell Guard",1
"Burning Lannister",1
"Lannister Map Painter",1
"Lannister Spearman",1
Unsullied,1
"King's Landing Citizen",1
"Wildling #2",1
"Lannister Archer",1
Alanna,1
Soldier,1
"Ironborn #3",1
Wight,1
Soldier,1
"Ironborn #1",1
"King's Landing Citizen",1
"Stark Guard",1
"Lannister Officer",1
"Grieving Daughter",1
"Lannister Guard",1
"King's Landing Citizen",1
"Old Man",1
"Wildling Wight",1
"Ironborn #2",1
Soldier,1
"Wildling #1",1
Wight,1
